gene1,gene2
16166,5561
5102,8457
14498,7419
1144,15975
8438,17258
12133,2491
13528,11738
13465,5768
905,514
3452,2816
3543,4569
3784,3734
10007,514
10762,16274
15083,6394
10844,16698
8581,10608
7315,1732
10317,2491
7912,17440
2653,243
6868,8727
15313,3514
2519,514
4072,1630
16149,1109
16089,7154
2305,2946
14048,6626
16869,3507
9643,12078
3819,4319
1320,13340
11919,1538
16057,3734
14461,2346
8698,13561
15591,17494
12557,12078
4633,12520
15735,7769
8733,4726
17456,8481
2081,4075
1568,8916
13216,3044
8933,2357
4987,6999
16124,45
14314,3208
14308,3208
5852,13669
16266,8270
2898,12078
15154,12078
10449,8452
2529,3628
789,5626
11203,1741
671,4885
14162,12078
9189,514
16720,3336
10770,5561
1960,14911
17511,1067
16585,2720
13464,7419
15289,10879
15886,7286
14819,514
16720,4837
9925,4569
9141,3628
2086,16534
5373,11238
13147,13520
9728,2821
10309,514
11225,9587
6318,7577
7599,9392
587,16495
5329,11165
7177,16328
5895,17553
5740,6167
9232,11472
2986,3734
16825,6120
16758,17269
10350,489
9468,5493
15038,2092
15404,514
9977,941
7384,4309
10934,2609
5433,14552
9826,8481
15883,16148
15057,5768
5602,5405
1230,4698
4272,11789
1909,4210
13063,7157
1728,5151
3310,3488
997,5476
13131,8481
1829,7238
7982,7905
8714,13561
9636,10708
9953,15004
14753,2081
1014,3201
10749,7419
8029,17553
1278,2656
11931,2656
15981,489
12439,6736
6697,3555
16320,14868
13562,12078
8297,514
16026,12078
6964,5328
13487,14173
3908,4422
241,5660
964,8359
12278,2637
17715,2188
6540,10879
11322,17258
10001,4897
15282,3190
15088,3628
10699,11704
16956,7084
16875,13520
8869,2637
17316,7084
12342,2656
295,15975
10729,5669
12463,514
5064,3464
640,3464
15307,15766
7170,8070
3499,1067
13850,1067
16270,14868
6215,7372
13565,2081
12359,6312
5475,13564
16118,14693
15272,514
16392,16029
11532,3734
10296,8468
6213,16966
15566,7905
14942,8481
17139,8481
2351,4935
9956,597
16001,11789
7554,4958
15221,9587
17680,9392
6309,5151
11237,2946
12349,3488
9062,489
15008,6812
16848,6812
17488,16683
6205,2720
281,7419
14144,15975
16119,16029
3692,16029
7725,489
16178,3336
11470,8525
10694,266
14572,1383
3619,11789
13611,1904
4882,8466
11898,2491
15071,5405
15748,5405
2742,10879
3131,17777
17340,5674
13933,3514
2606,12520
5006,13890
11076,7905
8267,5547
15100,5743
17493,5637
4287,6564
8845,12380
4149,2081
1410,5626
7196,7133
358,15975
15434,2637
12435,4961
6124,6112
14821,5656
12903,11606
7532,14173
6924,9641
12217,9184
9654,6112
13579,5441
13422,5879
15734,17494
2759,266
7024,5489
5964,1160
505,4958
14922,8481
3493,6564
12982,9239
16849,7905
6349,15952
14552,3055
17015,14144
9899,6784
1643,8481
3577,7771
13157,3734
3352,4935
9081,2480
13384,3117
14377,5343
1773,9587
15568,3135
1139,12078
14463,12078
11164,11272
17330,14173
12132,13145
11715,1109
1873,10399
16544,2480
16900,1538
14219,16029
12405,14144
16382,6626
7188,2844
5998,2491
11645,16960
12979,13520
8948,11355
14654,16911
6764,4622
10069,6805
7083,15975
17109,11789
5685,3488
13643,3488
11772,7154
11140,11355
16879,3545
8342,1741
8313,13818
2644,2081
5997,15038
9539,6312
13632,9184
1338,7293
17505,8457
17680,1538
13420,16609
13645,3734
3516,6564
8126,13254
11125,2720
12142,1067
6284,2637
15225,5190
16085,9641
12286,3514
1056,6120
7682,3514
16611,17258
2873,17344
4220,5561
9160,5547
14341,7293
1564,6626
15506,5637
3545,9935
1115,7905
12010,3207
5660,11704
10640,10717
2750,5626
17238,9392
8238,2946
2888,3321
12516,1067
15089,5950
3628,16779
4651,438
15162,8481
8675,4319
12524,3117
4976,5083
6411,5328
3962,5151
14691,7226
1794,16029
17656,12520
12893,2909
4198,3135
5016,11066
13535,8481
3821,6812
16126,6812
9542,17553
17538,3117
3457,14357
16548,9587
11688,12078
9894,5493
11500,2720
16849,3464
10543,8359
16273,2480
6467,4262
13482,7419
12005,17553
7505,7419
1946,5656
16924,9494
6962,14911
8566,1067
13923,8468
10866,8433
16211,13076
12895,11736
139,5522
16840,4979
15054,11736
16236,3582
9515,8955
9801,1738
629,3514
7495,16534
5710,3464
4853,7154
6458,9239
6308,13818
10095,11834
10979,7783
2294,16609
16346,3734
7739,8525
12175,4309
14981,16242
15644,15054
8957,5950
10348,8481
372,1954
14049,6626
613,476
5206,1302
702,11789
3947,16534
7506,2946
13840,6626
14307,6626
9994,3208
9231,16751
17208,5405
1179,14144
5806,2821
11804,3016
8203,9392
15876,5343
7462,9525
10224,12174
11906,12078
14373,5493
8267,8366
6012,7076
17846,4319
14524,1538
7231,10879
4846,6736
8037,15975
2819,1904
13315,16811
16976,5493
9037,11736
2386,4569
